Sno,Admission Number,Fee Head,Fees Assigned,concession,Paid,Due
135,10001309,Parent Orientation,1000,0,1000,0
136,10003169,Parent Orientation,1000,0,1000,0
137,10003150,Parent Orientation,1000,0,1000,0
138,10001280,Parent Orientation,1000,0,1000,0
139,10002827,Parent Orientation,1000,0,1000,0
140,10001127,Parent Orientation,1000,0,0,1000
141,10001936,Parent Orientation,1000,0,1000,0
142,10002160,Parent Orientation,1000,0,1000,0
143,10001307,Parent Orientation,1000,0,0,1000
144,10001581,Parent Orientation,1000,0,1000,0
145,10001337,Parent Orientation,1000,0,1000,0
146,10002327,Parent Orientation,1000,0,1000,0
147,10002372,Parent Orientation,1000,1000,0,0
148,10001227,Parent Orientation,1000,0,0,1000
149,10001384,Parent Orientation,1000,0,1000,0
150,10001686,Parent Orientation,1000,0,0,1000
151,10001457,Parent Orientation,1000,0,0,1000
152,10001326,Parent Orientation,1000,0,1000,0
153,10002157,Parent Orientation,1000,1000,0,0
154,10001324,Parent Orientation,1000,0,1000,0
155,10001713,Parent Orientation,1000,0,1000,0
156,10001494,Parent Orientation,1000,0,1000,0
157,10002703,Parent Orientation,1000,0,1000,0
158,10001862,Parent Orientation,1000,0,1000,0
159,10001292,Parent Orientation,1000,0,1000,0
160,10001953,Parent Orientation,1000,0,1000,0
161,10001844,Parent Orientation,1000,0,1000,0
162,10003303,Parent Orientation,1000,0,1000,0
163,10001711,Parent Orientation,1000,0,1000,0
164,10003133,Parent Orientation,1000,0,1000,0
165,10001420,Parent Orientation,1000,0,1000,0
166,10001181,Parent Orientation,1000,0,1000,0
167,10001129,Parent Orientation,1000,0,0,1000
168,10001255,Parent Orientation,1000,0,1000,0
169,10001286,Parent Orientation,1000,0,1000,0
170,10001234,Parent Orientation,1000,1000,0,0
171,10001233,Parent Orientation,1000,0,1000,0
172,10001243,Parent Orientation,1000,0,1000,0
173,10001340,Parent Orientation,1000,0,1000,0
174,10002860,Parent Orientation,1000,0,1000,0
175,10002102,Parent Orientation,1000,0,1000,0
176,10001535,Parent Orientation,1000,0,1000,0
177,10002800,Parent Orientation,1000,1000,0,0
178,10001157,Parent Orientation,1000,0,1000,0
179,10002617,Parent Orientation,1000,0,1000,0
180,10002104,Parent Orientation,1000,0,1000,0
181,10001242,Parent Orientation,1000,0,1000,0
182,10001293,Parent Orientation,1000,0,1000,0
183,10002302,Parent Orientation,1000,0,1000,0
184,10001131,Parent Orientation,1000,0,1000,0
185,10001311,Parent Orientation,1000,0,1000,0
186,10001418,Parent Orientation,1000,0,1000,0
187,10001310,Parent Orientation,1000,0,1000,0
188,10001451,Parent Orientation,1000,1000,0,0
189,10001314,Parent Orientation,1000,0,1000,0
190,10002296,Parent Orientation,1000,0,1000,0
191,10001854,Parent Orientation,1000,0,1000,0
192,10001408,Parent Orientation,1000,0,0,1000
193,10001514,Parent Orientation,1000,0,1000,0
194,10002962,Parent Orientation,1000,0,1000,0
195,10001512,Parent Orientation,1000,0,1000,0
196,10001335,Parent Orientation,1000,0,1000,0
197,10001455,Parent Orientation,1000,0,1000,0
198,10002986,Parent Orientation,1000,0,1000,0
199,10003029,Parent Orientation,1000,0,1000,0
200,10001304,Parent Orientation,1000,1000,0,0
201,10002785,Parent Orientation,1000,0,1000,0
202,10001843,Parent Orientation,1000,0,1000,0
203,10001339,Parent Orientation,1000,0,1000,0
204,10001669,Parent Orientation,1000,0,0,1000
205,10001859,Parent Orientation,1000,0,1000,0
206,10001528,Parent Orientation,1000,0,1000,0
207,10001674,Parent Orientation,1000,0,1000,0
208,10001328,Parent Orientation,1000,0,0,1000
209,10001778,Parent Orientation,1000,0,1000,0
210,10001454,Parent Orientation,1000,1000,0,0
211,10001460,Parent Orientation,1000,0,1000,0
212,10001458,Parent Orientation,1000,0,1000,0
213,10001453,Parent Orientation,1000,0,1000,0
214,10001322,Parent Orientation,1000,0,1000,0
215,10001318,Parent Orientation,1000,0,1000,0
216,10001710,Parent Orientation,1000,0,1000,0
217,10001325,Parent Orientation,1000,0,1000,0
218,10001481,Parent Orientation,1000,1000,0,0
219,10001557,Parent Orientation,1000,0,1000,0
220,10001737,Parent Orientation,1000,0,1000,0
221,10003294,Parent Orientation,1000,0,1000,0
222,10001591,Parent Orientation,1000,0,1000,0
223,10001441,Parent Orientation,1000,0,1000,0
224,10003240,Parent Orientation,1000,0,1000,0
225,10003161,Parent Orientation,1000,0,1000,0
226,10001471,Parent Orientation,1000,0,1000,0
227,10001536,Parent Orientation,1000,1000,0,0
228,10002991,Parent Orientation,1000,0,1000,0
229,10001714,Parent Orientation,1000,0,1000,0
230,10001531,Parent Orientation,1000,0,1000,0
231,10001576,Parent Orientation,1000,0,0,1000
232,10001537,Parent Orientation,1000,0,1000,0
233,10001501,Parent Orientation,1000,0,1000,0
234,10003092,Parent Orientation,1000,0,1000,0
235,10001300,Parent Orientation,1000,0,1000,0
236,10002340,Parent Orientation,1000,1000,0,0
237,10001464,Parent Orientation,1000,0,1000,0
238,10002097,Parent Orientation,1000,0,1000,0
239,10001960,Parent Orientation,1000,0,0,1000
240,10001863,Parent Orientation,1000,0,1000,0
241,10001582,Parent Orientation,1000,0,1000,0
242,10001694,Parent Orientation,1000,0,1000,0
243,10001298,Parent Orientation,1000,0,1000,0
244,10001684,Parent Orientation,1000,0,1000,0
245,10001490,Parent Orientation,1000,0,1000,0
246,10001698,Parent Orientation,1000,0,1000,0
247,10001370,Parent Orientation,1000,0,1000,0
248,10001305,Parent Orientation,1000,0,1000,0
249,10001452,Parent Orientation,1000,0,1000,0
250,10001667,Parent Orientation,1000,0,1000,0
251,10003279,Parent Orientation,1000,0,1000,0
252,10001317,Parent Orientation,1000,0,1000,0
253,10003096,Parent Orientation,1000,0,0,1000
254,10002941,Parent Orientation,1000,0,1000,0
255,10001381,Parent Orientation,1000,0,1000,0
256,10001857,Parent Orientation,1000,0,1000,0
257,10001751,Parent Orientation,1000,0,1000,0
258,10001462,Parent Orientation,1000,0,1000,0
259,10002196,Parent Orientation,1000,0,1000,0
260,10001331,Parent Orientation,1000,0,1000,0
261,10001563,Parent Orientation,1000,0,1000,0
262,10001489,Parent Orientation,1000,1000,0,0
263,10002997,Parent Orientation,1000,0,1000,0
264,10002972,Parent Orientation,1000,0,1000,0
265,10001308,Parent Orientation,1000,0,1000,0
266,10002565,Parent Orientation,1000,1000,0,0
267,10002486,Parent Orientation,1000,0,1000,0
268,10001574,Parent Orientation,1000,1000,0,0
269,10002214,Parent Orientation,1000,0,1000,0
270,10001892,Parent Orientation,1000,0,1000,0
271,10002186,Parent Orientation,1000,0,0,1000
272,10001443,Parent Orientation,1000,0,1000,0
273,10001375,Parent Orientation,1000,0,1000,0
274,10001682,Parent Orientation,1000,0,1000,0
275,10001333,Parent Orientation,1000,0,1000,0
276,10001580,Parent Orientation,1000,0,1000,0
277,10001509,Parent Orientation,1000,0,1000,0
278,10002711,Parent Orientation,1000,0,1000,0
279,10001543,Parent Orientation,1000,0,1000,0
280,10001642,Parent Orientation,1000,0,1000,0
281,10001515,Parent Orientation,1000,0,1000,0
282,10001606,Parent Orientation,1000,0,1000,0
283,10003236,Parent Orientation,1000,0,1000,0
284,10001474,Parent Orientation,1000,0,1000,0
285,10001442,Parent Orientation,1000,0,1000,0
286,10001477,Parent Orientation,1000,0,1000,0
287,10001643,Parent Orientation,1000,0,1000,0
288,10001482,Parent Orientation,1000,0,1000,0
289,10002920,Parent Orientation,1000,0,1000,0
290,10001579,Parent Orientation,1000,0,1000,0
291,10002851,Parent Orientation,1000,0,1000,0
292,10001630,Parent Orientation,1000,0,1000,0
293,10001784,Parent Orientation,1000,0,1000,0
294,10001756,Parent Orientation,1000,0,1000,0
295,10002133,Parent Orientation,1000,0,0,1000
296,10002165,Parent Orientation,1000,1000,0,0
297,10001855,Parent Orientation,1000,0,1000,0
298,10001770,Parent Orientation,1000,0,1000,0
299,10001518,Parent Orientation,1000,0,1000,0
300,10001544,Parent Orientation,1000,0,1000,0
301,10001720,Parent Orientation,1000,0,1000,0
302,10002150,Parent Orientation,1000,1000,0,0
303,10002075,Parent Orientation,1000,0,1000,0
304,10002084,Parent Orientation,1000,0,1000,0
305,10001507,Parent Orientation,1000,0,1000,0
306,10001476,Parent Orientation,1000,0,1000,0
307,10001479,Parent Orientation,1000,1000,0,0
308,10001615,Parent Orientation,1000,0,1000,0
309,10001661,Parent Orientation,1000,0,1000,0
310,10001566,Parent Orientation,1000,1000,0,0
311,10001525,Parent Orientation,1000,0,1000,0
312,10003238,Parent Orientation,1000,0,1000,0
313,10003214,Parent Orientation,1000,0,1000,0
314,10003210,Parent Orientation,1000,0,1000,0
315,10003066,Parent Orientation,1000,0,0,1000
316,10003120,Parent Orientation,1000,0,1000,0
317,10003116,Parent Orientation,1000,0,1000,0
318,10001622,Parent Orientation,1000,0,1000,0
319,10003045,Parent Orientation,1000,0,0,1000
320,10003036,Parent Orientation,1000,0,1000,0
321,10002965,Parent Orientation,1000,0,1000,0
322,10002961,Parent Orientation,1000,0,1000,0
323,10002907,Parent Orientation,1000,0,1000,0
324,10001885,Parent Orientation,1000,0,0,1000
325,10001765,Parent Orientation,1000,1000,0,0
326,10002293,Parent Orientation,1000,0,1000,0
327,10002298,Parent Orientation,1000,0,1000,0
328,10001560,Parent Orientation,1000,0,1000,0
