Sno,Admission Number,Fee Head,Fee Head,Fees Assigned,concession,Paid,Due
102,10001295,Admission Fee,WonderSkill Workshop,0,0,0,0
103,10001193,Admission Fee,WonderSkill Workshop,0,0,0,0
104,10001323,Admission Fee,WonderSkill Workshop,0,0,0,0
105,10002128,Admission Fee,WonderSkill Workshop,0,0,0,0
106,10001191,Admission Fee,WonderSkill Workshop,0,0,0,0
107,10003301,Admission Fee,WonderSkill Workshop,0,0,0,0
108,10003300,Admission Fee,WonderSkill Workshop,0,0,0,0
109,10003170,Admission Fee,WonderSkill Workshop,0,0,0,0
110,10001188,Admission Fee,WonderSkill Workshop,0,0,0,0
111,10001990,Admission Fee,WonderSkill Workshop,0,0,0,0
112,10001239,Admission Fee,WonderSkill Workshop,0,0,0,0
113,10001545,Admission Fee,WonderSkill Workshop,0,0,0,0
114,10001013,Admission Fee,WonderSkill Workshop,0,0,0,0
115,10001267,Admission Fee,WonderSkill Workshop,0,0,0,0
116,10003067,Admission Fee,WonderSkill Workshop,0,0,0,0
117,10001271,Admission Fee,WonderSkill Workshop,0,0,0,0
118,10002807,Admission Fee,WonderSkill Workshop,0,0,0,0
119,10001256,Admission Fee,WonderSkill Workshop,0,0,0,0
120,10001336,Admission Fee,WonderSkill Workshop,0,0,0,0
121,10001290,Admission Fee,WonderSkill Workshop,0,0,0,0
122,10001260,Admission Fee,WonderSkill Workshop,0,0,0,0
123,10001922,Admission Fee,WonderSkill Workshop,0,0,0,0
124,10001712,Admission Fee,WonderSkill Workshop,0,0,0,0
125,10001660,Admission Fee,WonderSkill Workshop,0,0,0,0
126,10001377,Admission Fee,WonderSkill Workshop,0,0,0,0
127,10001135,Admission Fee,WonderSkill Workshop,0,0,0,0
128,10001303,Admission Fee,WonderSkill Workshop,0,0,0,0
129,10001321,Admission Fee,WonderSkill Workshop,0,0,0,0
130,10001208,Admission Fee,WonderSkill Workshop,0,0,0,0
131,10001142,Admission Fee,WonderSkill Workshop,0,0,0,0
132,10000899,Admission Fee,WonderSkill Workshop,0,0,0,0
133,10001248,Admission Fee,WonderSkill Workshop,0,0,0,0
134,10003273,Admission Fee,WonderSkill Workshop,0,0,0,0
135,10001309,Admission Fee,WonderSkill Workshop,0,0,0,0
136,10003169,Admission Fee,WonderSkill Workshop,0,0,0,0
137,10003150,Admission Fee,WonderSkill Workshop,0,0,0,0
138,10001280,Admission Fee,WonderSkill Workshop,0,0,0,0
139,10002827,Admission Fee,WonderSkill Workshop,0,0,0,0
140,10001127,Admission Fee,WonderSkill Workshop,0,0,0,0
141,10001936,Admission Fee,WonderSkill Workshop,0,0,0,0
142,10002160,Admission Fee,WonderSkill Workshop,0,0,0,0
143,10001307,Admission Fee,WonderSkill Workshop,0,0,0,0
144,10001581,Admission Fee,WonderSkill Workshop,0,0,0,0
145,10001337,Admission Fee,WonderSkill Workshop,0,0,0,0
146,10002327,Admission Fee,WonderSkill Workshop,0,0,0,0
147,10002372,Admission Fee,WonderSkill Workshop,0,0,0,0
148,10001227,Admission Fee,WonderSkill Workshop,0,0,0,0
149,10001384,Admission Fee,WonderSkill Workshop,0,0,0,0
150,10001686,Admission Fee,WonderSkill Workshop,0,0,0,0
151,10001457,Admission Fee,WonderSkill Workshop,0,0,0,0
152,10001326,Admission Fee,WonderSkill Workshop,0,0,0,0
153,10002157,Admission Fee,WonderSkill Workshop,0,0,0,0
154,10001324,Admission Fee,WonderSkill Workshop,0,0,0,0
155,10001713,Admission Fee,WonderSkill Workshop,0,0,0,0
156,10001494,Admission Fee,WonderSkill Workshop,0,0,0,0
157,10002703,Admission Fee,WonderSkill Workshop,0,0,0,0
158,10001862,Admission Fee,WonderSkill Workshop,0,0,0,0
159,10001292,Admission Fee,WonderSkill Workshop,0,0,0,0
160,10001953,Admission Fee,WonderSkill Workshop,0,0,0,0
161,10001844,Admission Fee,WonderSkill Workshop,0,0,0,0
162,10003303,Admission Fee,WonderSkill Workshop,0,0,0,0
163,10001711,Admission Fee,WonderSkill Workshop,0,0,0,0
164,10003133,Admission Fee,WonderSkill Workshop,0,0,0,0
165,10001420,Admission Fee,WonderSkill Workshop,0,0,0,0
166,10001181,Admission Fee,WonderSkill Workshop,0,0,0,0
167,10001129,Admission Fee,WonderSkill Workshop,0,0,0,0
168,10001255,Admission Fee,WonderSkill Workshop,0,0,0,0
169,10001286,Admission Fee,WonderSkill Workshop,0,0,0,0
170,10001234,Admission Fee,WonderSkill Workshop,0,0,0,0
171,10001233,Admission Fee,WonderSkill Workshop,0,0,0,0
172,10001243,Admission Fee,WonderSkill Workshop,0,0,0,0
173,10001340,Admission Fee,WonderSkill Workshop,0,0,0,0
174,10002860,Admission Fee,WonderSkill Workshop,0,0,0,0
175,10002102,Admission Fee,WonderSkill Workshop,0,0,0,0
176,10001535,Admission Fee,WonderSkill Workshop,0,0,0,0
177,10002800,Admission Fee,WonderSkill Workshop,0,0,0,0
178,10001157,Admission Fee,WonderSkill Workshop,0,0,0,0
179,10002617,Admission Fee,WonderSkill Workshop,0,0,0,0
180,10002104,Admission Fee,WonderSkill Workshop,0,0,0,0
181,10001242,Admission Fee,WonderSkill Workshop,0,0,0,0
182,10001293,Admission Fee,WonderSkill Workshop,0,0,0,0
183,10002302,Admission Fee,WonderSkill Workshop,0,0,0,0
184,10001131,Admission Fee,WonderSkill Workshop,0,0,0,0
185,10001311,Admission Fee,WonderSkill Workshop,0,0,0,0
186,10001418,Admission Fee,WonderSkill Workshop,0,0,0,0
187,10001310,Admission Fee,WonderSkill Workshop,0,0,0,0
188,10001451,Admission Fee,WonderSkill Workshop,0,0,0,0
189,10001314,Admission Fee,WonderSkill Workshop,0,0,0,0
190,10002296,Admission Fee,WonderSkill Workshop,0,0,0,0
191,10001854,Admission Fee,WonderSkill Workshop,0,0,0,0
192,10001408,Admission Fee,WonderSkill Workshop,0,0,0,0
193,10001514,Admission Fee,WonderSkill Workshop,0,0,0,0
194,10002962,Admission Fee,WonderSkill Workshop,0,0,0,0
195,10001512,Admission Fee,WonderSkill Workshop,0,0,0,0
196,10001335,Admission Fee,WonderSkill Workshop,0,0,0,0
197,10001455,Admission Fee,WonderSkill Workshop,0,0,0,0
198,10002986,Admission Fee,WonderSkill Workshop,0,0,0,0
199,10003029,Admission Fee,WonderSkill Workshop,0,0,0,0
200,10001304,Admission Fee,WonderSkill Workshop,0,0,0,0
201,10002785,Admission Fee,WonderSkill Workshop,0,0,0,0
202,10001843,Admission Fee,WonderSkill Workshop,0,0,0,0
203,10001339,Admission Fee,WonderSkill Workshop,0,0,0,0
204,10001669,Admission Fee,WonderSkill Workshop,0,0,0,0
205,10001859,Admission Fee,WonderSkill Workshop,0,0,0,0
206,10001528,Admission Fee,WonderSkill Workshop,0,0,0,0
207,10001674,Admission Fee,WonderSkill Workshop,0,0,0,0
208,10001328,Admission Fee,WonderSkill Workshop,0,0,0,0
209,10001778,Admission Fee,WonderSkill Workshop,0,0,0,0
210,10001454,Admission Fee,WonderSkill Workshop,0,0,0,0
211,10001460,Admission Fee,WonderSkill Workshop,0,0,0,0
212,10001458,Admission Fee,WonderSkill Workshop,0,0,0,0
213,10001453,Admission Fee,WonderSkill Workshop,0,0,0,0
214,10001322,Admission Fee,WonderSkill Workshop,0,0,0,0
215,10001318,Admission Fee,WonderSkill Workshop,0,0,0,0
216,10001710,Admission Fee,WonderSkill Workshop,0,0,0,0
217,10001325,Admission Fee,WonderSkill Workshop,0,0,0,0
218,10001481,Admission Fee,WonderSkill Workshop,0,0,0,0
219,10001557,Admission Fee,WonderSkill Workshop,0,0,0,0
220,10001737,Admission Fee,WonderSkill Workshop,0,0,0,0
221,10003294,Admission Fee,WonderSkill Workshop,0,0,0,0
222,10001591,Admission Fee,WonderSkill Workshop,0,0,0,0
223,10001441,Admission Fee,WonderSkill Workshop,0,0,0,0
224,10003240,Admission Fee,WonderSkill Workshop,0,0,0,0
225,10003161,Admission Fee,WonderSkill Workshop,0,0,0,0
226,10001471,Admission Fee,WonderSkill Workshop,0,0,0,0
227,10001536,Admission Fee,WonderSkill Workshop,0,0,0,0
228,10002991,Admission Fee,WonderSkill Workshop,0,0,0,0
229,10001714,Admission Fee,WonderSkill Workshop,0,0,0,0
230,10001531,Admission Fee,WonderSkill Workshop,0,0,0,0
231,10001576,Admission Fee,WonderSkill Workshop,0,0,0,0
232,10001537,Admission Fee,WonderSkill Workshop,0,0,0,0
233,10001501,Admission Fee,WonderSkill Workshop,0,0,0,0
234,10003092,Admission Fee,WonderSkill Workshop,0,0,0,0
235,10001300,Admission Fee,WonderSkill Workshop,0,0,0,0
236,10002340,Admission Fee,WonderSkill Workshop,0,0,0,0
237,10001464,Admission Fee,WonderSkill Workshop,0,0,0,0
